Key,English,German,Spanish,Portuguese,Bengali,Hindi,French,Japanese,Korean,Arabic
Filter.FilterNameSale,Sale,Verkauf,Venta,Oferta,বিক্রয়,बिक्री,Vente,セール,판매,أُوكَازيُون
Filter.FilterNameClothes,Clothes,Kleidung,Ropa,Roupas,বস্ত্র,कपड़े,Vêtements,服,옷,ملابس
Filter.FilterNameNovelties,Novelties,Neuheiten,Novedades,Novelies,অভিনবত্ব,सस्ता माल,Nouveautés,ノベルティ,보지 못하던 상품,المستجدات
Filter.FilterNameShoes,Shoes,Schuhe,Zapatos,Sapato,জুতা,जूते,Chaussures,靴,신발,أحذية
Filter.FilterNameAccessories,Accessories,Zubehör,Accesorios,Acessórios,আনুষাঙ্গিক,सामान,Accessoires,アクセサリー,부속품,مُكَمِّلات
Ad.ShortOne,Weekend looks,Wochenend -Looks,Looks de fin de semana,Olha de semana,উইকএন্ড চেহারা,सप्ताहांत दिखता है,Le week-end looks,週末の見た目,주말 외모,تبدو عطلة نهاية الأسبوع
Ad.ShortTwo,"Beautiful looks
with silk","Schöne Aussehen
mit Seide","Hermosa apariencia
con seda","Linda aparência
com seda","সুন্দর চেহারা
সিল্কের সাথে","सुंदर लग रहा है
रेशम के साथ","Beaux regards
avec de la soie","美しいルックス
シルク付き","아름다운 외모
실크로","مظهر جميل
مع الحرير"
Ad.ShortThree,Warm looks for fall,Warmes Aussehen für den Herbst,Looks cálidos para el otoño,Looks calorosos para o outono,পতনের জন্য উষ্ণ চেহারা,गर्म गिरावट के लिए लगता है,Regarde chaleureux pour l'automne,秋の温かい外観,가을을위한 따뜻한 모습,نظرة دافئة للسقوط
Filter.Name,Filters,Filter,Filtros,Filtros,ফিল্টার,फिल्टर,Filtres,フィルター,필터,المرشحات
Ad.OneName,Cultural vacation,Kultururlaub,Vacaciones culturales,Férias culturais,সাংস্কৃতিক অবকাশ,सांस्कृतिक अवकाश,Vacances culturelles,文化的な休暇,문화 휴가,عطلة ثقافية
Ad.OneDesk,"Theater, exhibitions and classical music concerts - 
a minimalistic look is ideal for these events.","Theater, Ausstellungen und klassische Musikkonzerte -
Ein minimalistisches Aussehen ist ideal für diese Ereignisse.","Teatro, exposiciones y conciertos de música clásica -
Un aspecto minimalista es ideal para estos eventos.","Teatro, exposições e concertos de música clássica -
Uma aparência minimalista é ideal para esses eventos.","থিয়েটার, প্রদর্শনী এবং শাস্ত্রীয় সংগীত কনসার্ট -
এই ইভেন্টগুলির জন্য একটি নমনীয় চেহারা আদর্শ।","थिएटर, प्रदर्शनियां और शास्त्रीय संगीत संगीत कार्यक्रम -
इन घटनाओं के लिए एक न्यूनतम रूप आदर्श है।","Théâtre, expositions et concerts de musique classique -
Un look minimaliste est idéal pour ces événements.","劇場、展示、クラシック音楽コンサート - 
これらのイベントに最小限の外観が理想的です。","극장, 전시 및 클래식 음악 콘서트 -
최소한의 모습은 이러한 사건에 이상적입니다.","المسرح والمعارض والحفلات الموسيقية الكلاسيكية -
المظهر البسيط هو مثالي لهذه الأحداث."
Ad.TwoName,Warm looks for fall,Warmes Aussehen für den Herbst,Looks cálidos para el otoño,Looks calorosos para o outono,পতনের জন্য উষ্ণ চেহারা,गर्म गिरावट के लिए लगता है,Regarde chaleureux pour l'automne,秋の温かい外観,가을을위한 따뜻한 모습,نظرة دافئة للسقوط
Ad.TwoDesk,"A comfortable look for long walks, such as through a snowy park or forest","Ein komfortabler Look für lange Spaziergänge, beispielsweise durch einen schneebedeckten Park oder einen Wald","Un aspecto cómodo para paseos largos, como a través de un parque nevado o un bosque.","Um visual confortável de longas caminhadas, como através de um parque ou floresta nevada",দীর্ঘ হাঁটার জন্য একটি আরামদায়ক চেহারা যেমন তুষারযুক্ত পার্ক বা বনের মাধ্যমে,"लंबी सैर के लिए एक आरामदायक लुक, जैसे कि बर्फीला पार्क या जंगल के माध्यम से","Un look confortable pour de longues promenades, comme par un parc ou une forêt enneigée",雪に覆われた公園や森などの長い散歩の快適な外観,눈 덮인 공원이나 숲을 통한 긴 산책에 대한 편안한 모습,نظرة مريحة للمشي لمسافات طويلة ، مثل من خلال حديقة ثلجية أو غابة
Ad.ThreeName,Concise accessories,Prägnantes Zubehör,Accesorios concisos,Acessórios concisos,সংক্ষিপ্ত আনুষাঙ্গিক,संक्षिप्त सहायक उपकरण,Accessoires concises,簡潔なアクセサリー,간결한 액세서리,ملحقات موجزة
Ad.ThreeDesk,"To accentuate this casual look, add laconic accessories to the look","Um diesen ungezwungenen Look zu betonen, fügen Sie dem Look lakonische Accessoires hinzu","Para acentuar este aspecto informal, agregue accesorios lacónicos al look","Para acentuar essa aparência casual, adicione acessórios lacônicos à aparência","এই নৈমিত্তিক চেহারাটি উচ্চারণ করতে, চেহারাতে ল্যাকোনিক আনুষাঙ্গিক যুক্ত করুন","इस कैज़ुअल लुक को कम करने के लिए, लुक में लैकोनिक एक्सेसरीज जोड़ें","Pour accentuer ce look décontracté, ajoutez les accessoires laconiques au look",このカジュアルな外観を強調するには、外観に性的アクセサリーを追加します,이 캐주얼 모양을 강조하려면 외관에 열렬한 액세서리를 추가하십시오.,لإبراز هذا المظهر غير الرسمي ، أضف ملحقات laconic إلى المظهر
Ad.FourName,Weekend looks,Wochenend -Looks,Looks de fin de semana,Olha de semana,উইকএন্ড চেহারা,सप्ताहांत दिखता है,Le week-end looks,週末の見た目,주말 외모,تبدو عطلة نهاية الأسبوع
Ad.FourDesk,"If you plan to have fun, but you don't want to wear dressy dresses and suits, look for something more comfortable","Wenn Sie vorhaben, Spaß zu haben, aber keine eleganten Kleider und Anzüge tragen möchten, suchen Sie nach etwas Bequemerem","Si planeas divertirte, pero no quieres usar vestidos y trajes elegantes, busca algo más cómodo","Se você planeja se divertir, mas não quer usar vestidos e ternos elegantes, procure algo mais confortável","আপনি যদি মজা করার পরিকল্পনা করেন তবে আপনি পোশাকযুক্ত পোশাক এবং স্যুট পরতে চান না, আরও আরামদায়ক কিছু সন্ধান করুন","यदि आप मज़े करने की योजना बनाते हैं, लेकिन आप कपड़े पहने कपड़े और सूट नहीं पहनना चाहते हैं, तो कुछ और आरामदायक देखें","Si vous prévoyez de vous amuser, mais que vous ne voulez pas porter de robes et de costumes habillés, cherchez quelque chose de plus confortable",楽しむことを計画しているが、ドレッシードレスやスーツを着たくない場合は、もっと快適なものを探してください,재미를 계획하지만 드레스 드레스와 옷을 입고 싶지 않다면 더 편안한 것을 찾으십시오.,إذا كنت تخطط للاستمتاع ، لكنك لا ترغب
Basket.Total,Total:,Gesamt:,Total:,Total:,মোট:,कुल:,Total:,合計：,총:,المجموع:
Basket.GoToCheckout,Go to checkout,Zum Checkout gehen,Ir a pagar,Vá para o checkout,চেকআউট যেতে,परिक्षण के लिए जाएं,Aller à la caisse,チェックアウトに行きます,결제하십시오,انتقل إلى الخروج
Info.Size,Size,Größe,Tamaño,Tamanho,আকার,आकार,Taille,サイズ,크기,مقاس
Info.AddButton,Add to bag,Der Tasche hinzufügen,Agregar a la bolsa,Adicione à bolsa,ব্যাগে রাখো,थैले के साथ जोड़ो,Ajouter au panier,かごに入れます,가방에 추가하다,أضف الى الحقيبة
Basket.Number,Number,Nummer,Número,Número,সংখ্যা,संख्या,Nombre,番号,숫자,رقم
Basket.FN,First Name,Vorname,Nombre de pila,Primeiro nome,নামের প্রথম অংশ,पहला नाम,Prénom,ファーストネーム,이름,الاسم الأول
Basket.LN,Last Name,"Familienname, Nachname",Apellido,Sobrenome,নামের শেষাংশ,उपनाम,Nom de famille,苗字,성,اسم العائلة
Basket.Adress,Adress,Ein Kleid,Dirección,Endereço,অ্যাড্রেস,पता,Une robe,アドレス,주소,adress
Basket.ManF,Mandatory filling,Obligatorische Füllung,Llenado obligatorio,Recheio obrigatório,বাধ্যতামূলক ফিলিং,अनिवार्य भरने,Remplissage obligatoire,必須の充填,필수 충전,ملء إلزامي
Basket.Street,Street,Straße,Calle,Rua,রাস্তা,गली,Rue,通り,거리,شارع
Basket.City,City,Stadt,Ciudad,Cidade,শহর,शहर,Ville,市,도시,مدينة
Basket.State,State,Zustand,Estado,Estado,অবস্থা,राज्य,État,州,상태,ولاية
Basket.Zip,Zip,Reißverschluss,Cremallera,Fecho eclair,জিপ,ज़िप,Fermeture éclair,ジップ,지퍼,أَزِيز
Basket.Payment,Payment,Zahlung,Pago,Pagamento,অর্থ প্রদান,भुगतान,Paiement,支払い,지불,قسط
Basket.Card,Card,Karte,Tarjeta,Cartão,কার্ড,कार्ड,Carte,カード,카드,بطاقة
Basket.Cash,Cash,Kasse,Dinero,Dinheiro,নগদ,नकद,Espèces,現金,현금,نقدي
